	TR	answer	back_and_forth_period	fix_time	in_scanner	max_amplitude	nr_periods	post_fix_time	size_fixation_deg	stim_time
0	0.7	-1	2.0	2	0	15	1	7.5	0.4	30
1	0.7	-1	2.0	2	0	15	1	7.5	0.4	30
2	0.7	-1	2.0	2	0	15	1	7.5	0.4	30
